TokenStart,TokenEnd,Word,PreConst,AftConst,StdVowel,ORaising,Speaker,PresentVowel,Stressed
73.66322262,74.11252817,cocaine,k,k,ou,f,Blaine,ou,t
77.95024379,78.17489657,so,s,w,ou,t,Texas,\eu,t
80.30207756,80.51970994,so,s,w,ou,f,Barbara,ou,t
86.12656442,86.3441968,so,s,w,ou,t,Texas,\eu,t
90.94011378,91.26305215,mouth,m,\th,æu,f,Blaine,æu,t
99.76933154,100.1133311,go,g,#,ou,f,Barbara,ou,t
108.2099845,108.4697393,no,n,n,ou,t,Blaine,\eu,t
108.5048413,108.8067185,no,n,#,ou,f,Blaine,ou,t
110.3652471,111.3200214,no,n,#,ou,f,Blaine,ou,t
114.0277752,114.5961051,open,z,p,ou,f,Barbara,ou,t
116.0914502,116.175695,don't,d,n,ou,f,Barbara,ou,f
119.669411,119.9291658,don't,d,n,ou,f,Barbara,ou,t
119.9291658,120.0891189,PHOToshop,f,t,ou,t,Barbara,\eu,t
120.0891189,120.4486753,photOSHOP,t,sh,ou,f,Barbara,ou,f
121.9510408,122.2458976,don't,d,n,ou,f,Mariel,ou,t
122.5267135,122.7583867,don't,d,n,ou,f,Mariel,ou,t
122.7583867,123.0147988,PHOToshop,f,t,ou,f,Mariel,ou,t
123.0147988,123.4112838,photOSHOP,t,sh,ou,f,Mariel,ou,f
125.0867165,125.5992056,blowing,l,w,ou,f,Barbara,ou,t
132.5399378,133.0734881,also,s,t,ou,f,Barbara,ou,t
133.7263852,134.1405888,episode's,s,d,ou,f,Barbara,ou,t
136.8901425,137.1639381,so,s,#,ou,f,Barbara,ou,t
140.1125058,140.3231178,oh,#,j,ou,f,Blaine,ou,t
142.9112023,143.1779775,so,s,#,ou,f,Barbara,ou,t
154.3495676,154.637404,show,sh,#,ou,f,Barbara,ou,t
158.1967464,158.43544,host,h,s,ou,f,Barbara,ou,t
160.3916886,160.6654842,old,z,l,ou,f,Barbara,ou,t
172.9111954,173.2271133,broke,r,k,ou,f,Mariel,ou,t
199.2911034,199.5087358,go,g,j,ou,f,Barbara,ou,f
213.1771452,213.7668588,upside-down,d,n,æu,t,Barbara,\uu,t
225.8581212,226.0617128,oh,#,m,ou,t,Barbara,au,t
227.648323,227.858935,oh,#,#,ou,f,Yssa,ou,t
230.8752639,231.1069371,those,ð,z,ou,f,Barbara,ou,t
231.3526511,231.5070998,so,s,j,ou,f,Mariel,ou,t
245.0164829,245.9923184,pistachio,#,#,ou,f,Barbara,ou,f
245.9923184,246.4205628,pistachio,#,w,ou,f,Yssa,ou,f
249.3175449,249.6755852,so,s,w,ou,f,Mariel,ou,t
253.9369676,254.1967224,know,n,#,ou,f,Barbara,ou,t
261.9002335,262.1740291,oh,#,#,ou,t,Barbara,\uu,t
266.1686363,266.3301054,now,n,#,æu,f,Mariel,æu,t
267.9142729,268.2372113,now,n,#,æu,f,Barbara,æu,t
271.2388209,271.4888209,so,s,#,ou,t,Mariel,æu,t
275.2692086,275.4868409,so,s,#,ou,f,Mariel,ou,t
276.0203913,276.1888809,go,g,f,ou,f,Mariel,ou,t
276.5890436,276.841778,so,s,#,ou,t,Yssa,au,t
282.2520631,282.5960626,also,s,g,ou,f,Yssa,ou,t
292.7918172,293.2200616,no,n,ð,ou,f,Yssa,ou,t
296.5617717,296.8004652,loud,l,d,æu,t,Barbara,\uu,t
297.305934,297.6148316,okay,#,k,ou,t,Barbara,\uu,t
298.5531223,298.7567138,hope,h,p,ou,f,Barbara,u,t
298.8971218,299.0866726,know,n,h,ou,f,Barbara,ou,t
299.0866726,299.2060194,how,h,m,ou,f,Barbara,æu,t
300.3924669,300.6311605,how,h,v,æu,t,Barbara,\uu,t
301.536792,301.9439751,only,t,n,ou,f,Barbara,ou,t
311.1919741,311.8799732,sunflower,l,w,æu,f,Barbara,æu,f
313.6069914,313.810583,oh,#,n,ou,f,Barbara,ou,t
313.810583,314.0773582,no,n,#,ou,f,Barbara,ou,t
322.4618497,322.8058493,so,s,#,ou,f,Barbara,ou,t
323.2902569,323.5149096,oh,#,m,ou,t,Barbara,\uu,t
357.6895975,357.8651075,oh,#,m,ou,f,Mariel,ou,t
359.0094325,359.5640441,episode,s,d,ou,f,Mariel,ou,t
380.0633003,380.6108915,so,s,#,ou,f,Blaine,ou,t
387.3175076,387.7176704,so,s,#,ou,f,Blaine,ou,t
399.2051784,399.4368516,so,s,#,ou,t,Blaine,\uu,t
409.2068046,409.424437,oh,#,m,ou,f,Barbara,ou,t
412.8619899,413.5359482,coaster,k,s,ou,f,Blaine,ou,t
460.1458892,460.2441748,don't,d,n,ou,f,Barbara,ou,f
471.5210709,471.9071928,so,s,#,ou,f,Mariel,ou,t
479.6061281,479.8026993,so,s,#,ou,f,Mariel,ou,t
506.3721598,506.884649,clothing,l,ð,ou,f,Barbara,ou,t
507.7316745,508.4337144,okay,#,k,ou,f,Barbara,\e,f
528.7153383,528.8978686,phone,f,n,ou,f,Mariel,ou,t
544.9040711,545.606111,wow,w,#,æu,f,Barbara,æu,t
553.6701052,553.8526356,open,z,p,ou,f,Barbara,ou,t
565.2418581,565.4314089,okay,m,k,ou,f,Mariel,ou,t
566.0000612,566.2036528,okay,m,k,ou,f,Mariel,\e,f
584.3931994,584.6529542,about,b,t,æu,t,Barbara,\uu,t
591.5701823,591.9282227,open,z,p,ou,f,Barbara,ou,t
601.81279,602.3322996,open,z,p,ou,f,Barbara,ou,t
